assembled_transcript_name	chromosome	start	end	intron_number	strand
m64012_507476_774164/1/ccs	chr17	7673609	7673700	1	-
m64012_507476_774164/1/ccs	chr17	7676404	7676520	2	-
m64012_507476_774164/1/ccs	chr17	7669691	7670608	3	-
m64012_507476_774164/1/ccs	chr17	7673838	7674180	4	-
m64012_507476_774164/1/ccs	chr17	7675237	7675993	5	-
m64012_507476_774164/1/ccs	chr17	7674972	7675052	6	-
m64012_507476_774164/1/ccs	chr17	7670716	7673534	7	-
m64012_507476_774164/1/ccs	chr17	7676273	7676381	8	-
m64012_507476_774164/1/ccs	chr17	7674291	7674858	9	-
m64012_507476_774164/1/ccs	chr17	7676623	7687376	10	-
m64012_104905_566269/1/ccs	chr17	7669691	7670608	1	-
m64012_104905_566269/1/ccs	chr17	7675237	7675993	2	-
m64012_104905_566269/1/ccs	chr17	7676404	7676520	3	-
m64012_104905_566269/1/ccs	chr17	7676623	7687376	4	-
m64012_104905_566269/1/ccs	chr17	7670716	7673534	5	-
m64012_104905_566269/1/ccs	chr17	7673609	7673700	6	-
m64012_104905_566269/1/ccs	chr17	7674291	7674858	7	-
m64012_104905_566269/1/ccs	chr17	7673838	7674180	8	-
m64012_104905_566269/1/ccs	chr17	7674972	7675052	9	-
m64012_104905_566269/1/ccs	chr17	7676273	7676381	10	-
