assembled_transcript_name	chromosome	start	end	exon_number	strand
m64012_507476_774164/1/ccs	chr17	7687377	7687490	1	-
m64012_507476_774164/1/ccs	chr17	7676521	7676622	2	-
m64012_507476_774164/1/ccs	chr17	7676382	7676403	3	-
m64012_507476_774164/1/ccs	chr17	7675994	7676272	4	-
m64012_507476_774164/1/ccs	chr17	7675053	7675236	5	-
m64012_507476_774164/1/ccs	chr17	7674859	7674971	6	-
m64012_507476_774164/1/ccs	chr17	7674181	7674290	7	-
m64012_507476_774164/1/ccs	chr17	7673701	7673837	8	-
m64012_507476_774164/1/ccs	chr17	7673535	7673608	9	-
m64012_507476_774164/1/ccs	chr17	7670609	7670715	10	-
m64012_507476_774164/1/ccs	chr17	7668421	7669690	11	-
m64012_104905_566269/1/ccs	chr17	7687377	7687490	1	-
m64012_104905_566269/1/ccs	chr17	7676521	7676622	2	-
m64012_104905_566269/1/ccs	chr17	7676382	7676403	3	-
m64012_104905_566269/1/ccs	chr17	7675994	7676272	4	-
m64012_104905_566269/1/ccs	chr17	7675053	7675236	5	-
m64012_104905_566269/1/ccs	chr17	7674859	7674971	6	-
m64012_104905_566269/1/ccs	chr17	7674181	7674290	7	-
m64012_104905_566269/1/ccs	chr17	7673701	7673837	8	-
m64012_104905_566269/1/ccs	chr17	7673535	7673608	9	-
m64012_104905_566269/1/ccs	chr17	7670609	7670715	10	-
m64012_104905_566269/1/ccs	chr17	7668421	7669690	11	-
